cluster_id,decision,signature,member_count,approved_at,quality_gate,excluded_count,note
PC-001,AUTO_CLOSE_QUALITY_GATE_FAILED,mode=right; source=local_file; output=auto_right; samples=11-20; ratio=card_portrait; layout=ordinary; issue=crop_or_split_layout; families=AGEOM;mode=right;source=local_file;package=true;ratio=card_portrait;resolver=local_file;filename=auto_right;issue=crop_or_split_layout;layout=ordinary,1,2026-07-29,strict_auto_close_technical_contract,1,No member passed the strict auto-close technical gate
PC-002,AUTO_CLOSE_QUALITY_GATE_FAILED,mode=right; source=local_file; output=auto_right; samples=11-20; ratio=card_portrait; layout=ordinary; issue=prior_ng_or_weak_scene; families=HMN+H_;mode=right;source=local_file;package=true;ratio=card_portrait;resolver=local_file;filename=auto_right;issue=prior_ng_or_weak_scene;layout=ordinary,3,2026-07-29,strict_auto_close_technical_contract,3,No member passed the strict auto-close technical gate
PC-003,AUTO_CLOSE_QUALITY_GATE_FAILED,mode=right; source=local_file; output=auto_right; samples=6-10; ratio=card_portrait; layout=ordinary; issue=prior_ng_or_weak_scene; families=+MUDR;mode=right;source=local_file;package=true;ratio=card_portrait;resolver=local_file;filename=auto_right;issue=prior_ng_or_weak_scene;layout=ordinary,3,2026-07-29,strict_auto_close_technical_contract,3,No member passed the strict auto-close technical gate
PC-004,SOURCE_MISSING,mode=full; source=external_url; output=cache; samples=11-20; ratio=card_portrait; layout=ordinary; issue=source_missing; families=CEMD;mode=full;source=external_url;package=true;ratio=card_portrait;resolver=external_url;filename=cache;issue=source_missing;layout=ordinary,1,2026-07-29,source_not_available,1,CEMD00871 remains isolated P0 SOURCE_MISSING
PC-005,APPROVE_CLUSTER_CURRENT,mode=full; source=dvd_candidate; output=full_versioned; samples=11-20; ratio=landscape; layout=ordinary; issue=prior_ng_or_weak_scene; families=;mode=full;source=dvd_candidate;package=true;ratio=landscape;resolver=dvd_candidate;filename=full_versioned;issue=prior_ng_or_weak_scene;layout=ordinary,1,2026-07-29,strict_signature_and_current_technical_contract,0,Current image approved; excluded members remain final exceptions
PC-006,REJECT_CLUSTER_SOURCE_MISSING,mode=full; source=external_url; output=cache; samples=11-20; ratio=card_portrait; layout=edge_band; issue=band_or_center_layout; families=H_+SAVR+VRKM;mode=full;source=external_url;package=true;ratio=card_portrait;resolver=external_url;filename=cache;issue=band_or_center_layout;layout=edge_band,9,2026-07-29,now_printing_and_no_valid_saved_candidate,9,All members retained as P0 SOURCE_MISSING
PC-007,APPROVE_CLUSTER_CURRENT,mode=full; source=external_url; output=cache; samples=11-20; ratio=card_portrait; layout=ordinary; issue=confidence_only; families=+H_;mode=full;source=external_url;package=true;ratio=card_portrait;resolver=external_url;filename=cache;issue=confidence_only;layout=ordinary,3,2026-07-29,strict_signature_and_current_technical_contract,0,Current image approved; excluded members remain final exceptions
PC-008,APPROVE_CLUSTER_CURRENT,mode=full; source=external_url; output=cache; samples=11-20; ratio=card_portrait; layout=ordinary; issue=other; families=H_;mode=full;source=external_url;package=true;ratio=card_portrait;resolver=external_url;filename=cache;issue=other;layout=ordinary,1,2026-07-29,strict_signature_and_current_technical_contract,0,Current image approved; excluded members remain final exceptions
PC-009,APPROVE_CLUSTER_CURRENT,mode=full; source=external_url; output=cache; samples=6-10; ratio=card_portrait; layout=ordinary; issue=confidence_only; families=H_;mode=full;source=external_url;package=true;ratio=card_portrait;resolver=external_url;filename=cache;issue=confidence_only;layout=ordinary,1,2026-07-29,strict_signature_and_current_technical_contract,0,Current image approved; excluded members remain final exceptions
PC-010,APPROVE_CLUSTER_CURRENT,mode=right; source=local_file; output=auto_right; samples=11-20; ratio=card_portrait; layout=ordinary; issue=prior_ng_or_weak_scene; families=BEBL;mode=right;source=local_file;package=false;ratio=card_portrait;resolver=local_file;filename=auto_right;issue=prior_ng_or_weak_scene;layout=ordinary,1,2026-07-29,strict_signature_and_current_technical_contract,0,Current image approved; excluded members remain final exceptions
