audit_index,code,mode,source_id,audit_recommended_url,resolved_url,render_strategy,object_fit,object_position,crop_spec,approval_status
1,125UMD01010,PACKAGE_RIGHT,dvd:right,/card-thumbnails/125UMD01010-auto-right.jpg,/card-thumbnails/125UMD01010-auto-right.jpg,AUDIT_OUTPUT,cover,right,null,UNREVIEWED
2,125UMD01011,PACKAGE_RIGHT,dvd:right,/card-thumbnails/125UMD01011-auto-right.jpg,/card-thumbnails/125UMD01011-auto-right.jpg,AUDIT_OUTPUT,cover,right,null,UNREVIEWED
3,125UMD01012,PACKAGE_RIGHT,dvd:right,/card-thumbnails/125UMD01012-auto-right.jpg,/card-thumbnails/125UMD01012-auto-right.jpg,AUDIT_OUTPUT,cover,right,null,UNREVIEWED
4,125UMD01013,PACKAGE_CENTER,dvd:center,/card-thumbnails/125UMD01013-auto-center.jpg,https://pics.dmm.co.jp/digital/video/125umd01013/125umd01013pl.jpg,CSS_PACKAGE_POSITION,cover,center,null,UNREVIEWED
5,13DSVR01975,PACKAGE_RIGHT,dvd:right,/card-thumbnails/13DSVR01975-auto-right.jpg,https://pics.dmm.co.jp/digital/video/13dsvr01975/13dsvr01975pl.jpg,CSS_PACKAGE_POSITION,cover,right,null,UNREVIEWED
6,13DSVR01992,SAMPLE,sample:1,https://pics.dmm.co.jp/digital/video/13dsvr01992/13dsvr01992jp-1.jpg,https://pics.dmm.co.jp/digital/video/13dsvr01992/13dsvr01992jp-1.jpg,AUDIT_OUTPUT,cover,center,null,UNREVIEWED
7,13DSVR01998,SAMPLE,sample:1,https://pics.dmm.co.jp/digital/video/13dsvr01998/13dsvr01998jp-1.jpg,https://pics.dmm.co.jp/digital/video/13dsvr01998/13dsvr01998jp-1.jpg,AUDIT_OUTPUT,cover,center,null,UNREVIEWED
8,13DSVR01999,SAMPLE,sample:1,https://pics.dmm.co.jp/digital/video/13dsvr01999/13dsvr01999jp-1.jpg,https://pics.dmm.co.jp/digital/video/13dsvr01999/13dsvr01999jp-1.jpg,AUDIT_OUTPUT,cover,center,null,UNREVIEWED
9,13DSVR02003,SAMPLE,sample:1,https://pics.dmm.co.jp/digital/video/13dsvr02003/13dsvr02003jp-1.jpg,https://pics.dmm.co.jp/digital/video/13dsvr02003/13dsvr02003jp-1.jpg,AUDIT_OUTPUT,cover,center,null,UNREVIEWED
10,15SEND00024AI,PACKAGE_RIGHT,dvd:right,/card-thumbnails/15SEND00024AI-auto-right.jpg,/card-thumbnails/15SEND00024AI-auto-right.jpg,AUDIT_OUTPUT,cover,right,null,UNREVIEWED
11,172EC00037AI,PACKAGE_RIGHT,dvd:right,/card-thumbnails/172EC00037AI-auto-right.jpg,/card-thumbnails/172EC00037AI-auto-right.jpg,AUDIT_OUTPUT,cover,right,null,UNREVIEWED
12,172RECA00036AI,PACKAGE_RIGHT,dvd:right,/card-thumbnails/172RECA00036AI-auto-right.jpg,/card-thumbnails/172RECA00036AI-auto-right.jpg,AUDIT_OUTPUT,cover,right,null,UNREVIEWED
13,172RECA00042AI,PACKAGE_FULL,dvd:full,https://pics.dmm.co.jp/digital/video/172reca00042ai/172reca00042aipl.jpg,https://pics.dmm.co.jp/digital/video/172reca00042ai/172reca00042aipl.jpg,AUDIT_OUTPUT,contain,center,null,UNREVIEWED
14,180ARTV00079,PACKAGE_RIGHT,dvd:right,/card-thumbnails/180ARTV00079-auto-right.jpg,/card-thumbnails/180ARTV00079-auto-right.jpg,AUDIT_OUTPUT,cover,right,null,UNREVIEWED
15,1ANG00016,PACKAGE_RIGHT,dvd:right,/card-thumbnails/1ANG00016-auto-right.jpg,/card-thumbnails/1ANG00016-auto-right.jpg,AUDIT_OUTPUT,cover,right,null,UNREVIEWED
16,1CPZ69H00013,PACKAGE_RIGHT,dvd:right,/card-thumbnails/1CPZ69H00013-auto-right.jpg,/card-thumbnails/1CPZ69H00013-auto-right.jpg,AUDIT_OUTPUT,cover,right,null,UNREVIEWED
17,1DLDSS00503,PACKAGE_RIGHT,dvd:right,/card-thumbnails/1DLDSS00503-auto-right.jpg,/card-thumbnails/1DLDSS00503-auto-right.jpg,AUDIT_OUTPUT,cover,right,null,UNREVIEWED
18,1DLDSS00504,PACKAGE_FULL,dvd:full,https://pics.dmm.co.jp/digital/video/1dldss00504/1dldss00504pl.jpg,https://pics.dmm.co.jp/digital/video/1dldss00504/1dldss00504pl.jpg,AUDIT_OUTPUT,contain,center,null,UNREVIEWED
