code,mode,source_id,source_path_or_url,source_local_path,source_hash,output_path_or_url,output_hash,approved_by,approved_at,approval_batch,reason,apply
1START00594,PACKAGE_FULL,dvd:full,https://pics.dmm.co.jp/digital/video/1start00594/1start00594pl.jpg,tmp/card-rebuild/downloads/1START00594-thumb.jpg,6c3395c3aa3371b931e039813f6ac0b861cc5012f7224fdac96874748a333a53,https://pics.dmm.co.jp/digital/video/1start00594/1start00594pl.jpg,6c3395c3aa3371b931e039813f6ac0b861cc5012f7224fdac96874748a333a53,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User approved PACKAGE_FULL in Phase 4D-R2 because it preserves the complete representative image; no image transformation,true
DASS00989,PACKAGE_RIGHT,dvd:right,public/card-thumbnails/DASS00989-auto-right.jpg,public/card-thumbnails/DASS00989-auto-right.jpg,efdd1b7c37f8d0dd50e72af7e1a2c2be35aba81f74065a9441c5c451769a5b1a,/card-thumbnails/DASS00989-auto-right.jpg,efdd1b7c37f8d0dd50e72af7e1a2c2be35aba81f74065a9441c5c451769a5b1a,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User approved the Phase 4D-R2 PACKAGE_RIGHT recommendation; no image transformation,true
DSOD00034,PACKAGE_RIGHT,dvd:right,public/card-thumbnails/DSOD00034-auto-right.jpg,public/card-thumbnails/DSOD00034-auto-right.jpg,43acf4c1bb5e1b6be8c7f1d4450493f81ce993dac329c74c5024b7e41ecc3c43,/card-thumbnails/DSOD00034-auto-right.jpg,43acf4c1bb5e1b6be8c7f1d4450493f81ce993dac329c74c5024b7e41ecc3c43,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User approved the Phase 4D-R2 PACKAGE_RIGHT recommendation; no image transformation,true
H_1342NSM00073,PACKAGE_RIGHT,dvd:right,public/card-thumbnails/H_1342NSM00073-auto-right.jpg,public/card-thumbnails/H_1342NSM00073-auto-right.jpg,8df3ddc311e53a0c19ce3278853bd611bfa247504846bc56d56d350b8f771985,/card-thumbnails/H_1342NSM00073-auto-right.jpg,8df3ddc311e53a0c19ce3278853bd611bfa247504846bc56d56d350b8f771985,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User approved the Phase 4D-R2 runner-up PACKAGE_RIGHT candidate; no image transformation,true
HMN00885,PACKAGE_RIGHT,dvd:right,public/card-thumbnails/HMN00885-auto-right.jpg,public/card-thumbnails/HMN00885-auto-right.jpg,4932e56978dba154a7c589432696585dd721a2ddf419fc632217f6436c2d34a3,/card-thumbnails/HMN00885-auto-right.jpg,4932e56978dba154a7c589432696585dd721a2ddf419fc632217f6436c2d34a3,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User selected PACKAGE_RIGHT after reviewing all Phase 4D-R2 candidates; no image transformation,true
KIWVR00907,SAMPLE,sample:4,https://pics.dmm.co.jp/digital/video/kiwvr00907/kiwvr00907jp-4.jpg,tmp/card-rebuild/downloads/KIWVR00907-sample-4.jpg,a3307814435dc400aa014fc44d226e1d82da0bea6501e36984388972ecf24daa,https://pics.dmm.co.jp/digital/video/kiwvr00907/kiwvr00907jp-4.jpg,a3307814435dc400aa014fc44d226e1d82da0bea6501e36984388972ecf24daa,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User Preview approval replaced the earlier Phase 4D-R2 PACKAGE_RIGHT recommendation with SAMPLE sample:4; no image transformation,true
KSBJ00438,SAMPLE,sample:6,https://pics.dmm.co.jp/digital/video/ksbj00438/ksbj00438jp-6.jpg,tmp/card-rebuild/downloads/KSBJ00438-sample-6.jpg,63aa5773e9d9517e3211a18afa84695cd5803d781760f971eb0df80713b557bd,https://pics.dmm.co.jp/digital/video/ksbj00438/ksbj00438jp-6.jpg,63aa5773e9d9517e3211a18afa84695cd5803d781760f971eb0df80713b557bd,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User Preview approval replaced the earlier Phase 4D-R2 PACKAGE_RIGHT recommendation with SAMPLE sample:6; no image transformation,true
KYMI00056,PACKAGE_RIGHT,dvd:right,public/card-thumbnails/KYMI00056-auto-right.jpg,public/card-thumbnails/KYMI00056-auto-right.jpg,9b60c5fdcfe3ad22dc0a70af15627d59f71ec8b3d71efd2fc73d183215911351,/card-thumbnails/KYMI00056-auto-right.jpg,9b60c5fdcfe3ad22dc0a70af15627d59f71ec8b3d71efd2fc73d183215911351,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User approved the Phase 4D-R2 runner-up PACKAGE_RIGHT candidate; no image transformation,true
LUCY00029,SAMPLE,sample:6,https://pics.dmm.co.jp/digital/video/lucy00029/lucy00029jp-6.jpg,tmp/card-rebuild/downloads/LUCY00029-sample-6.jpg,02bef264908f0a0935a0e569de6d25313863aefc5181642fd90ae42cefb877dd,https://pics.dmm.co.jp/digital/video/lucy00029/lucy00029jp-6.jpg,02bef264908f0a0935a0e569de6d25313863aefc5181642fd90ae42cefb877dd,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User Preview approval replaced the earlier Phase 4D-R2 PACKAGE_RIGHT recommendation with SAMPLE sample:6; no image transformation,true
MKMP00739,PACKAGE_RIGHT,dvd:right,public/card-thumbnails/MKMP00739-auto-right.jpg,public/card-thumbnails/MKMP00739-auto-right.jpg,c4f3f6091a7442fdfdb9ebe82ff6202891c4baa148ba812c4bb262c70b48ec66,/card-thumbnails/MKMP00739-auto-right.jpg,c4f3f6091a7442fdfdb9ebe82ff6202891c4baa148ba812c4bb262c70b48ec66,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User approved the Phase 4D-R2 runner-up PACKAGE_RIGHT candidate; no image transformation,true
SQTE00700,PACKAGE_RIGHT,dvd:right,public/card-thumbnails/SQTE00700-auto-right.jpg,public/card-thumbnails/SQTE00700-auto-right.jpg,d39de864646c364ecea83f1fc7585878f48a1029215b10082c054af9eabaf258,/card-thumbnails/SQTE00700-auto-right.jpg,d39de864646c364ecea83f1fc7585878f48a1029215b10082c054af9eabaf258,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User selected PACKAGE_RIGHT after reviewing all Phase 4D-R2 candidates; no image transformation,true
