code,review_set,selection,expected_mode,expected_source_id,production_effect,approved_by,approved_at,approval_batch,reason
1START00594,PHASE_4D_R2,PACKAGE_FULL,PACKAGE_FULL,dvd:full,PRODUCTION_DECISION,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User selected PACKAGE_FULL
13DSVR01992,PHASE_4D_R2,CURRENT,SAMPLE,sample:1,REGRESSION_ONLY,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User retained current resolution
13DSVR01999,PHASE_4D_R1,LEFT_COLUMN,SAMPLE,sample:1,REGRESSION_ONLY,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User approved left-column current image
36DMOW00228,PHASE_4D_R1,LEFT_COLUMN,PACKAGE_RIGHT,dvd:right,REGRESSION_ONLY,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User approved left-column current image
DASS00989,PHASE_4D_R2,RECOMMENDED,PACKAGE_RIGHT,dvd:right,PRODUCTION_DECISION,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User selected R2 recommended candidate
DSOD00034,PHASE_4D_R2,RECOMMENDED,PACKAGE_RIGHT,dvd:right,PRODUCTION_DECISION,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User selected R2 recommended candidate
DSOD00036,PHASE_4D_R1,LEFT_COLUMN,PACKAGE_RIGHT,dvd:right,REGRESSION_ONLY,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User approved left-column current image
DVRT07701,PHASE_4D_R2,CURRENT,SAMPLE,sample:7,REGRESSION_ONLY,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User retained current resolution
H_086JURA00204,PHASE_4D_R1,LEFT_COLUMN,SAMPLE,sample:1,REGRESSION_ONLY,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User approved left-column current image
H_086YOCH00033,PHASE_4D_R2,CURRENT,SAMPLE,sample:1,REGRESSION_ONLY,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User retained current resolution
H_113P00031,PHASE_4D_R1,LEFT_COLUMN,PACKAGE_RIGHT,dvd:right,REGRESSION_ONLY,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User approved left-column current image
H_1342NSM00073,PHASE_4D_R2,RUNNER_UP,PACKAGE_RIGHT,dvd:right,PRODUCTION_DECISION,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User selected R2 runner-up candidate
H_1780GMDMS00006,PHASE_4D_R2,CURRENT,PACKAGE_CENTER,dvd:center,REGRESSION_ONLY,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User retained current resolution
H_237ZMAR00164,PHASE_4D_R1,LEFT_COLUMN,SAMPLE,sample:2,REGRESSION_ONLY,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User approved left-column current image
H_491LOCK00014,PHASE_4D_R2,CURRENT,PACKAGE_RIGHT,dvd:right,REGRESSION_ONLY,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User retained current resolution
HMIX00058,PHASE_4D_R2,CURRENT,PACKAGE_RIGHT,dvd:right,REGRESSION_ONLY,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User retained current resolution
HMN00885,PHASE_4D_R2,PACKAGE_RIGHT,PACKAGE_RIGHT,dvd:right,PRODUCTION_DECISION,USER_HANDOFF,2026-08-02,PHASE_4D_USER_REVIEW,User selected PACKAGE_RIGHT
