code,label,mode,source_id,source_path_or_url,source_local_path,source_hash,labeled_by,labeled_at,label_batch,reason,apply
KIWVR00907,POSITIVE,SAMPLE,sample:1,https://pics.dmm.co.jp/digital/video/kiwvr00907/kiwvr00907jp-1.jpg,tmp/card-rebuild/downloads/KIWVR00907-sample-1.jpg,6617d270aaca3b1072f2537894ef854d972dde127094c7d717ddff6981cdacf8,USER_HANDOFF,2026-08-03,PHASE_4E_USER_REVIEW,7:10カード比較で作品を代表するsampleとして承認,false
KIWVR00907,NEGATIVE,SAMPLE,sample:2,https://pics.dmm.co.jp/digital/video/kiwvr00907/kiwvr00907jp-2.jpg,tmp/card-rebuild/downloads/KIWVR00907-sample-2.jpg,2d0eace3387a6de20d2654683590e1be959496d6fb28c463084d4b6ed6813869,USER_HANDOFF,2026-08-03,PHASE_4E_USER_REVIEW,現在表示された未承認画像,false
KIWVR00907,NEGATIVE,SAMPLE,sample:4,https://pics.dmm.co.jp/digital/video/kiwvr00907/kiwvr00907jp-4.jpg,tmp/card-rebuild/downloads/KIWVR00907-sample-4.jpg,a3307814435dc400aa014fc44d226e1d82da0bea6501e36984388972ecf24daa,USER_HANDOFF,2026-08-03,PHASE_4E_USER_REVIEW,舌を出した接写で代表画像として不採用,false
KSBJ00438,POSITIVE,SAMPLE,sample:1,https://pics.dmm.co.jp/digital/video/ksbj00438/ksbj00438jp-1.jpg,tmp/card-rebuild/downloads/KSBJ00438-sample-1.jpg,e2bf85d60b077c2b269d3a7a40f7c9082ba299e712f783ff9948d21c4f890ec6,USER_HANDOFF,2026-08-03,PHASE_4E_USER_REVIEW,7:10カード比較で作品を代表するsampleとして承認,false
KSBJ00438,NEGATIVE,SAMPLE,sample:5,https://pics.dmm.co.jp/digital/video/ksbj00438/ksbj00438jp-5.jpg,tmp/card-rebuild/downloads/KSBJ00438-sample-5.jpg,58fce856873d542811ead2c4c9c95c4cf214da02625473c9481e84c64d2e72f2,USER_HANDOFF,2026-08-03,PHASE_4E_USER_REVIEW,現在表示された未承認画像,false
KSBJ00438,NEGATIVE,SAMPLE,sample:6,https://pics.dmm.co.jp/digital/video/ksbj00438/ksbj00438jp-6.jpg,tmp/card-rebuild/downloads/KSBJ00438-sample-6.jpg,63aa5773e9d9517e3211a18afa84695cd5803d781760f971eb0df80713b557bd,USER_HANDOFF,2026-08-03,PHASE_4E_USER_REVIEW,胸元中心の場面画像で不採用,false
LUCY00029,POSITIVE,SAMPLE,sample:1,https://pics.dmm.co.jp/digital/video/lucy00029/lucy00029jp-1.jpg,tmp/card-rebuild/downloads/LUCY00029-sample-1.jpg,428ed0e1dc8c0714c371672f5287b4c1cfcc67561d52740f9ec10e5b6867c203,USER_HANDOFF,2026-08-03,PHASE_4E_USER_REVIEW,7:10カード比較で作品を代表するsampleとして承認,false
LUCY00029,NEGATIVE,SAMPLE,sample:3,https://pics.dmm.co.jp/digital/video/lucy00029/lucy00029jp-3.jpg,tmp/card-rebuild/downloads/LUCY00029-sample-3.jpg,d19655be001fc5d0d2ff9ab88f8b198f6feb4c46c19059f6361382f353fc08a5,USER_HANDOFF,2026-08-03,PHASE_4E_USER_REVIEW,現在表示された未承認画像,false
LUCY00029,NEGATIVE,SAMPLE,sample:6,https://pics.dmm.co.jp/digital/video/lucy00029/lucy00029jp-6.jpg,tmp/card-rebuild/downloads/LUCY00029-sample-6.jpg,02bef264908f0a0935a0e569de6d25313863aefc5181642fd90ae42cefb877dd,USER_HANDOFF,2026-08-03,PHASE_4E_USER_REVIEW,以前提案された不採用画像,false
UMSO00650,POSITIVE,SAMPLE,sample:1,https://pics.dmm.co.jp/digital/video/umso00650/umso00650jp-1.jpg,tmp/card-rebuild/downloads/UMSO00650-sample-1.jpg,03bf532f7aae96fc466c825558af559ff6ac30aa61c0ce285b77bda84ad4fb21,USER_HANDOFF,2026-08-03,PHASE_4E_USER_REVIEW,7:10カード比較で作品を代表するsampleとして承認,false
UMSO00650,NEGATIVE,SAMPLE,sample:9,https://pics.dmm.co.jp/digital/video/umso00650/umso00650jp-9.jpg,tmp/card-rebuild/downloads/UMSO00650-sample-9.jpg,19c75d65de6ce4bf05e0fc5d8f90530cfa3dace934184ca6ed155dd252c08afc,USER_HANDOFF,2026-08-03,PHASE_4E_USER_REVIEW,現在表示された未承認画像,false
UMSO00650,NEGATIVE,SAMPLE,sample:18,https://pics.dmm.co.jp/digital/video/umso00650/umso00650jp-18.jpg,tmp/card-rebuild/downloads/UMSO00650-sample-18.jpg,106a35b08cdf3913b7668617143ec8f3359461e85fe3e6424259553c5db4ee0c,USER_HANDOFF,2026-08-03,PHASE_4E_USER_REVIEW,以前提案された不採用画像,false
