code,mode,source_id,source_kind,source_path_or_url,source_local_path,output_path_or_url,object_fit,crop_spec,crop_variant,approval_status,render_status,approved_by,approved_at,source_hash,output_hash,reason
1SBP00395,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00395/1sbp00395pl.jpg,data/thumbnail-scene-crop-sources/1SBP00395-scene-pl-fbfcc07df212471c.jpg,/card-thumbnails/1SBP00395-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":35,""y"":0,""width"":315,""height"":450}",REVISED,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-28,fbfcc07df212471cbfeca70b0079d9d2fab9714e13a706957274e8de9b4291e3,023556f342d0357d80de37d87ab42372efc2cd0c0bb671219a4abc4c373bd88f,User-approved scene portrait revised; existing source crop and output preserved without regeneration
1SBP00396,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00396/1sbp00396pl.jpg,data/thumbnail-scene-crop-sources/1SBP00396-scene-pl-808d453caaaa0324.jpg,/card-thumbnails/1SBP00396-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":100,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-28,808d453caaaa032411e517af649e24e4f2469657b4abb81e35c3330f8e886a0d,96a3e91835e02f3be6027ae8984169cca15a41d590ce362750d819a92577cf4a,User-approved scene portrait normal; existing source crop and output preserved without regeneration
1SBP00397,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00397/1sbp00397pl.jpg,data/thumbnail-scene-crop-sources/1SBP00397-scene-pl-30dabdce7cb8f7ca.jpg,/card-thumbnails/1SBP00397-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":150,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-28,30dabdce7cb8f7ca75c3ed27e0453737f86520a97d4127fcec5c9e16cdca9798,8fc963af48aa20f644e8370776e5cd851675ebeae819916c70b5a05de3a41a36,User-approved scene portrait normal; existing source crop and output preserved without regeneration
1SBP00398,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00398/1sbp00398pl.jpg,data/thumbnail-scene-crop-sources/1SBP00398-scene-pl-960d19271fdbb54f.jpg,/card-thumbnails/1SBP00398-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":90,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-28,960d19271fdbb54f8effa6da19877852b4d3227e65a8d7687108a7540fcef26a,61be87e0bae307c67f03a98335adf5049d7c57f473c69521117f7c058881f73f,User-approved scene portrait normal; existing source crop and output preserved without regeneration
1SBP00399,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00399/1sbp00399pl.jpg,data/thumbnail-scene-crop-sources/1SBP00399-scene-pl-5c0af6951cd06a0c.jpg,/card-thumbnails/1SBP00399-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":15,""y"":0,""width"":315,""height"":450}",REVISED,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-28,5c0af6951cd06a0c409964032577180a9660d1f9c8affd1c8429608d59172a81,778e7cf590192fdeffd1abfcf2f292c4ed0ac9ce2bf55ce29cea37202f92c4d8,User-approved scene portrait revised; existing source crop and output preserved without regeneration
1SBP00400,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00400/1sbp00400pl.jpg,data/thumbnail-scene-crop-sources/1SBP00400-scene-pl-4787f71aaaebf097.jpg,/card-thumbnails/1SBP00400-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":75,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-28,4787f71aaaebf0974e3cac373283811197193e1be97fc019a5fe948641512d6d,c4904a23e3bcde7f46f574d893457ae320266a93ae64b859666314dbd7ff4152,User-approved scene portrait normal; existing source crop and output preserved without regeneration
1SBP00401,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00401/1sbp00401pl.jpg,data/thumbnail-scene-crop-sources/1SBP00401-scene-pl-05c78e9a5996fbdd.jpg,/card-thumbnails/1SBP00401-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":60,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-29,05c78e9a5996fbdd25322cdaefe3c19140ce38b4fb4a2c7e478fbbc399b4e0dd,29ac523596aa748491206bf1d07bdbfa77edbe0967dfb5d41af631bc54934a14,User-approved scene portrait normal; existing source crop and output preserved without regeneration
1SBP00402,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00402/1sbp00402pl.jpg,data/thumbnail-scene-crop-sources/1SBP00402-scene-pl-a74df745fbf7262e.jpg,/card-thumbnails/1SBP00402-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":20,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-28,a74df745fbf7262e7c49e2809370be53b4bb3e250de4085192880e531731bfc1,cc32df1b54f18ade62c15e61ee482732e71a595a160451beca1ce2e56a3713b0,User-approved scene portrait normal; existing source crop and output preserved without regeneration
1SBP00403,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00403/1sbp00403pl.jpg,data/thumbnail-scene-crop-sources/1SBP00403-scene-pl-fc9666c2da46d671.jpg,/card-thumbnails/1SBP00403-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":50,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-28,fc9666c2da46d6718c1d5fb68a5fc827ed6e092677f7ea049ae5cfc0af9d4708,ae656e36c6304dab1520f1d2b963b433a7069c04afe0d97de88e9af366322feb,User-approved scene portrait normal; existing source crop and output preserved without regeneration
1SBP00404,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00404/1sbp00404pl.jpg,data/thumbnail-scene-crop-sources/1SBP00404-scene-pl-75ef8ce4b9ef90b8.jpg,/card-thumbnails/1SBP00404-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":0,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-28,75ef8ce4b9ef90b87b234e68923d33bda18e08580a1a83a1fcc3a98be03f3818,d986d9b12d79a6a6b80637979e6a266ba31aafbe3cbddad3a96efdb781c38d3e,User-approved scene portrait normal; existing source crop and output preserved without regeneration
1SBP00405,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00405/1sbp00405pl.jpg,data/thumbnail-scene-crop-sources/1SBP00405-scene-pl-8536b3e4c7218569.jpg,/card-thumbnails/1SBP00405-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":0,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-28,8536b3e4c721856939c387bb68cc6cfd2e0a2bc900727878c3a0e569665fb5b6,12cde16548e37e9f957885c1fce5f4951ba4128e9aa4ad4826d0053a8f170087,User-approved scene portrait normal; existing source crop and output preserved without regeneration
1SBP00406,SCENE_CROP,scene:pl,SCENE,https://pics.dmm.co.jp/digital/video/1sbp00406/1sbp00406pl.jpg,data/thumbnail-scene-crop-sources/1SBP00406-scene-pl-8aca740e264d10c8.jpg,/card-thumbnails/1SBP00406-scene-portrait-v4.jpg,cover,"{""unit"":""pixel"",""x"":115,""y"":0,""width"":315,""height"":450}",STANDARD,HUMAN_APPROVED,READY,USER_HANDOFF,2026-07-28,8aca740e264d10c8ca523bf7cc29674acb4c427b9a7490f7ec357ecf7b416ab1,df1a807e44426514f81992ebe856c5bac7c7e84c47dfe7f313aae28f087ee93c,User-approved scene portrait normal; existing source crop and output preserved without regeneration
